price,sqft,bedrooms,bathrooms,location,year_built,condition
495000.0,1950.0,3.0,2.0,Urban,1981.0,Good
320000.0,1700.0,2.0,1.5,Rural,1961.0,Fair
615000.0,2230.0,3.0,2.0,Downtown,1986.0,Good
398000.0,1680.0,2.0,2.0,Suburb,1968.0,Fair
357000.0,1580.0,2.0,1.5,Suburb,1960.0,Fair
1250000.0,3250.0,4.0,3.5,Waterfront,2010.0,Excellent
527000.0,2010.0,3.0,2.0,Urban,1993.0,Good
428000.0,1760.0,2.0,2.0,Suburb,1971.0,Good
401000.0,1742.0,2.0,1.5,Suburb,1963.0,Good
537000.0,2050.0,3.0,2.0,Urban,1990.0,Good
587000.0,2180.0,3.0,2.0,Downtown,1984.0,Good
420000.0,1750.0,2.0,2.0,Suburb,1972.0,Good
415000.0,1720.0,2.0,2.0,Suburb,1970.0,Good
475000.0,1920.0,3.0,2.0,Urban,1978.0,Good
729000.0,2640.0,3.0,2.5,Downtown,1995.0,Excellent
312000.0,1680.0,2.0,1.5,Rural,1959.0,Fair
502000.0,1950.0,3.0,2.0,Urban,1982.0,Good
276000.0,1422.0,2.0,1.0,Rural,1952.0,Fair
520000.0,2050.0,3.0,2.0,Urban,1990.0,Good
328000.0,1730.0,2.0,1.5,Rural,1965.0,Fair
512000.0,2030.0,3.0,2.0,Urban,1988.0,Good
1190000.0,3170.0,4.0,3.5,Waterfront,2006.0,Excellent
440000.0,1830.0,3.0,2.0,Suburb,1975.0,Good
249000.0,1350.0,2.0,1.0,Rural,1947.0,Poor
1140000.0,3050.0,4.0,3.5,Waterfront,2003.0,Excellent
492000.0,1980.0,3.0,2.0,Urban,1980.0,Good
1210000.0,3102.0,4.0,3.0,Waterfront,2005.0,Excellent
251000.0,1380.0,2.0,1.0,Rural,1948.0,Poor
1580000.0,3680.0,5.0,4.0,Waterfront,2018.0,Excellent
1680000.0,3850.0,5.0,4.5,Waterfront,2012.0,Excellent
1220000.0,3220.0,4.0,3.5,Waterfront,2008.0,Excellent
891000.0,2950.0,3.0,2.5,Downtown,2001.0,Excellent
430000.0,1780.0,2.0,2.0,Suburb,1972.0,Good
695000.0,2550.0,3.0,2.5,Downtown,1992.0,Excellent
264000.0,1440.0,2.0,1.0,Rural,1951.0,Poor
1170000.0,3150.0,4.0,3.5,Waterfront,2005.0,Excellent
380000.0,1650.0,2.0,1.5,Suburb,1965.0,Fair
748000.0,2680.0,3.0,2.5,Downtown,1997.0,Excellent
495000.0,1527.0,2.0,1.5,Suburb,1956.0,Good
425000.0,1720.0,2.0,2.0,Suburb,1970.0,Good
545000.0,2120.0,3.0,2.5,Urban,1997.0,Good
261000.0,1450.0,2.0,1.0,Rural,1950.0,Poor
582000.0,2200.0,3.0,2.0,Downtown,1985.0,Good
982000.0,2980.0,4.0,3.0,Mountain,2010.0,Excellent
682000.0,2420.0,3.0,2.5,Downtown,1990.0,Good
1280000.0,3280.0,4.0,3.5,Waterfront,2012.0,Excellent
730000.0,2620.0,3.0,2.5,Downtown,1994.0,Excellent
258000.0,1420.0,2.0,1.0,Rural,1950.0,Poor
325000.0,1720.0,2.0,1.5,Rural,1962.0,Fair
592000.0,2220.0,3.0,2.0,Downtown,1985.0,Good
529000.0,2100.0,3.0,2.5,Urban,1992.0,Good
1340000.0,3420.0,4.0,4.0,Waterfront,2014.0,Excellent
530000.0,2080.0,3.0,2.0,Urban,1991.0,Good
279000.0,1480.0,2.0,1.0,Rural,1953.0,Fair
535000.0,2080.0,3.0,2.5,Urban,1995.0,Good
752000.0,2526.0,3.0,2.5,Downtown,1998.0,Excellent
302000.0,1680.0,2.0,1.5,Rural,1960.0,Fair
552000.0,2150.0,3.0,2.0,Downtown,1982.0,Good
319000.0,1622.0,2.0,1.5,Rural,1975.0,Fair
1380000.0,3480.0,4.0,4.0,Waterfront,2015.0,Excellent
372000.0,1640.0,2.0,1.5,Suburb,1963.0,Fair
510000.0,1980.0,3.0,2.0,Urban,1984.0,Good
375000.0,1620.0,2.0,1.5,Suburb,1962.0,Fair
368000.0,1620.0,2.0,1.5,Suburb,1962.0,Fair
575000.0,2150.0,3.0,2.0,Downtown,1983.0,Good
482000.0,1925.0,3.0,2.0,Urban,1979.0,Good
620000.0,2280.0,3.0,2.0,Downtown,1988.0,Good
