sqft,bedrooms,bathrooms,house_age,condition,location_Downtown,location_Mountain,location_Rural,location_Suburb,location_Urban,location_Waterfront,price
-0.3463086110618597,0.22661687238014944,-0.20101595357479585,0.02552522526936924,2.0,0.0,0.0,0.0,0.0,1.0,0.0,495000.0
-0.7410193646877545,-1.0386606650756844,-0.8132009030980384,1.0620040695407305,1.0,0.0,0.0,1.0,0.0,0.0,0.0,320000.0
0.09576743299914259,0.22661687238014944,-0.20101595357479585,-0.23359448579847103,2.0,1.0,0.0,0.0,0.0,0.0,0.0,615000.0
-0.7725962249778262,-1.0386606650756844,-0.20101595357479585,0.699236474045754,1.0,0.0,0.0,0.0,1.0,0.0,0.0,398000.0
-0.9304805264281841,-1.0386606650756844,-0.8132009030980384,1.1138280117542985,1.0,0.0,0.0,0.0,1.0,0.0,0.0,357000.0
1.7061873077927938,1.4918944098359834,1.6355388949949319,-1.4773690989241044,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1250000.0
-0.25157803019164493,0.22661687238014944,-0.20101595357479585,-0.5963620812934474,2.0,0.0,0.0,0.0,0.0,1.0,0.0,527000.0
-0.6462887838175398,-1.0386606650756844,-0.20101595357479585,0.5437646474050498,2.0,0.0,0.0,0.0,1.0,0.0,0.0,428000.0
-0.6747079580786043,-1.0386606650756844,-0.8132009030980384,0.9583561851135942,2.0,0.0,0.0,0.0,1.0,0.0,0.0,401000.0
-0.18842430961150172,0.22661687238014944,-0.20101595357479585,-0.44089025465274323,2.0,0.0,0.0,0.0,0.0,1.0,0.0,537000.0
0.016825282273963606,0.22661687238014944,-0.20101595357479585,-0.12994660137133493,2.0,1.0,0.0,0.0,0.0,0.0,0.0,587000.0
-0.6620772139625756,-1.0386606650756844,-0.20101595357479585,0.49194070519148175,2.0,0.0,0.0,0.0,1.0,0.0,0.0,420000.0
-0.709442504397683,-1.0386606650756844,-0.20101595357479585,0.5955885896186178,2.0,0.0,0.0,0.0,1.0,0.0,0.0,415000.0
-0.39367390149696707,0.22661687238014944,-0.20101595357479585,0.1809970519100734,2.0,0.0,0.0,0.0,0.0,1.0,0.0,475000.0
0.7430930689456102,0.22661687238014944,0.41116899594844675,-0.7000099657205835,3.0,1.0,0.0,0.0,0.0,0.0,0.0,729000.0
-0.7725962249778262,-1.0386606650756844,-0.8132009030980384,1.1656519539678665,1.0,0.0,0.0,1.0,0.0,0.0,0.0,312000.0
